,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,How can entrepreneurs use consulting contracts to support their startup before raising money?,"['This obviously raises the issue of how you’re supposed to do\nthat before you’ve raised money.\nTry to raise angel money, or bootstrap oW of initial customers\nor consulting contracts, or work on it aaer hours while keeping\nyour current job, or quit your job and live oW of credit cards for\na while.\nLots of entrepreneurs have done these things and succeeded —\nand of course, many have failed.\nNobody said this would be easy.\nThe most valuable thing you can do is actually build your prod-\nuct. When in doubt, focus on that.\nThe next most valuable thing you can do is get customers — or,']","Entrepreneurs can use consulting contracts to support their startup before raising money by working on initial customers or consulting contracts, or working on the startup after hours while keeping their current job. This can help generate income and support the business before seeking external funding.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 21, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
1,What steps can be taken to retain great people in the company?,"['problem — your original product cycle has peaked and you\nneed to Xnd a new product cycle. That’s your big challenge,\nway beyond retention. But I’ll talk about that in a future post.\nRetention follows from the steps you are taking to orchestrate\nthe turnaround and/or get to the next big product cycle.\nHaving adroitly sidestepped most of what you need to do, let\nme now address some things you can\ncan do to help the retention\nPart 2: Retaining great people\n87', 'nies its business problems, and it can be hard to get people\ninside and outside the company motivated to reengage without\nyou forcing a dramatic change to the story in some fundamental\nway.\nPart 2: Retaining great people\n91']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 91, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 95, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
2,What is the importance of combining a useful graduate degree with a substantive undergraduate degree in the workforce?,"['workforce in a high-impact way when you graduate, and you’ll\nhave to go get a useful graduate degree.\nAnd even if you are already planning to get a useful graduate\ndegree, you are much better oW combining it with a substantive\nundergraduate degree — thereby becoming a “double threat”.\nMore on this in a bit.\nWhich undergraduate degrees are useful in\nthe real world?\nTypically, those that have a technical element of some form —\nthat teach you how to do something substantive.\nEngineering degrees obviously qualify. The current myth that\nengineering and computer science degrees are less useful', 'that for what it’s worth.\nIf you don’t have a useful undergrad degree, then a useful grad-\nuate degree is deFnitely a great idea. Business, math, economics,\nscience — something practical, substantive.\nQuite a few people in business have paired a liberal arts under-\ngrad degree with an MBA. They seem to do just Xne. But I think\nthat’s a missed opportunity — much better would be an MBA\non top of an engineering or math undergraduate degree. Peo-\nple with that combination are invaluable, and there aren’t nearly\nenough of them running around.']","Combining a useful graduate degree with a substantive undergraduate degree is important in the workforce as it makes individuals more valuable and versatile. It allows individuals to have a technical foundation along with specialized knowledge in a particular field, making them a 'double threat' in the job market. This combination enhances their skills and expertise, making them more competitive and sought after by employers.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 113, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
3,How does the Inconsistency-Avoidance Tendency contribute to people being reluctant to change?,"['Five: Inconsistency-Avoidance Tendency\n[People are] reluctant to change, which is a form of inconsistency\navoidance. We see this in all human habits, constructive and\ndestructive. Few people can list a lot of bad habits that they have\neliminated, and some people cannot identify even one of these.\nInstead, practically every one has a great many bad habits he has\nlong maintained despite their being known as bad. Given this sit-\nuation, it is not too much in many cases to appraise early-formed\nhabits as destiny. When Marley’s miserable ghost says, “I wear the', 'new ideas were not accepted because they were inconsistent with\nold ideas in place…\nWe have no less an authority for this than Max Planck, Nobel lau-\nreate, Xnder of “Planck’s constant.” Planck is famous not only for\nhis science but also for saying that even in physics the radically\nnew ideas are seldom really accepted by the old guard. Instead, said\nPlanck, the progress is made by a new generation that comes along,\nless brain-blocked by its previous conclusions…\nOne corollary of Inconsistency-Avoidance Tendency is that a per-\nson making big sacriXces in the course of assuming a new identity']","The Inconsistency-Avoidance Tendency contributes to people being reluctant to change by making them hesitant to alter their habits, whether constructive or destructive. People often struggle to eliminate bad habits, even when they are aware of their negative impact. This tendency leads individuals to maintain long-standing habits, viewing them almost as destiny. Additionally, the reluctance to accept new ideas that contradict old beliefs, as highlighted by Max Planck, further reinforces this aversion to change. Planck noted that progress is often driven by a new generation less constrained by previous conclusions, indicating that the avoidance of inconsistency can hinder innovation and adaptation.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 155, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 155, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
4,What factors can affect the dynamic of decision-making in a big company during the consensus building process?,"['extreme case, but even a non-extreme version of this process —\nand all big companies have one; they have to — is mind-bend-\ningly complex to try to understand, even from the inside, let\nalone the outside.\n“… and the breath of the whale is frequently attended with such an\ninsupportable smell, as to bring on a disorder of the brain.”\n— Ulloa’s South America\nYou can count on there being a whole host of impinging forces\nthat will aWect the dynamic of decision-making on any issue at\na big company.\nThe consensus building process, trade-oWs, quids pro quo, poli-']","There are a whole host of impinging forces that can affect the dynamic of decision-making in a big company during the consensus building process. These forces include trade-offs, quid pro quo arrangements, and political considerations.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 39, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
5,What are the layers of risk for a high-tech startup in terms of startup investment?,"['as if it’s an onion. Just like you peel an onion and remove each\nlayer in turn, risk in a startup investment comes in layers that\nget peeled away — reduced — one by one.\nYour challenge as an entrepreneur trying to raise venture capital\nis to keep peeling layers of risk oW of your particular onion until\nthe VCs say “yes” — until the risk in your startup is reduced to\nthe point where investing in your startup doesn’t look terrifying\nand merely looks risky.\nWhat are the layers of risk for a high-tech\nstartup?\nIt depends on the startup, but here are some of the common\nones:']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 16, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
6,"How do companies like MySpace, Facebook, and Google generate revenue?","['lot of money quite quickly.\nPeople laughed when Fox bought MySpace for $580 million, but\nthat’s a business that will generate nearly $300 million in rev-\nenue in 2007, and more in 2008.\nAs an independent asset today, MySpace would probably be val-\nued at between $3 billion and $5 billion today — perhaps higher.\nCall that the deal of the decade.\nSimilarly, Facebook is bringing in a lot more revenue than peo-\nple think.\nAnd then there’s Google.\nThese companies aren’t pulling in all that revenue via some\nkind of Ponzi scheme.\nThis is money coming from real advertisers and real users for']","Companies like MySpace, Facebook, and Google generate revenue through real advertisers and real users. They do not rely on a Ponzi scheme but rather on legitimate sources of income.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 188, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
7,How can working at a venture-backed startup help in developing contacts with VCs?,"['and identifying those VCs and screening out all the others is\nabsolutely key.\nNow, on to developing contacts\nThe best way to develop contacts with VCs, in my opinion, is to\nwork at a venture-backed startup, kick butt, get promoted, and\nnetwork the whole way.\n20\nThe Pmarca Blog Archives']","Working at a venture-backed startup can help in developing contacts with VCs by providing opportunities to showcase skills, excel in the industry, get promoted, and network effectively. This experience allows individuals to establish credibility and connections within the venture capital community.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 24, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
8,What is the role of engineers in determining the caliber of a startup team?,"['Let’s start by deXning terms.\nThe caliber of a startup team\nteam can be deXned as the suitability of\nthe CEO, senior staW, engineers, and other key staW relative to\nthe opportunity in front of them.\nYou look at a startup and ask, will this team be able to optimally\nexecute against their opportunity? I focus on eWectiveness as\nopposed to experience, since the history of the tech industry is\nfull of highly successful startups that were staWed primarily by\npeople who had never “done it before”.\nThe quality of a startup’s pr\nproduct\noduct can be deXned as how impres-']","Engineers play a crucial role in determining the caliber of a startup team. Their skills, expertise, and ability to execute effectively on the opportunity presented are key factors in assessing the overall suitability of the team. While experience is important, the focus is on effectiveness in leveraging the opportunity at hand.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 30, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
9,Why do people tend to apologize when they notice someone wearing headphones?,"['People, for some reason, feel much worse interrupting you if\nyou are wearing headphones than if you’re not.\nIt’s great — a lot of the time, people will walk up to you, start\nto say something, notice the headphones, apologize (using exag-\ngerated mouth motions), and walk away.\nThis is great — half the time they didn’t actually need to talk to\nyou, and the other half of the time they can send an email that\nyou can process at the end of the day during the second of your\ntwo daily email sweeps.\nHere’s the best part: you don’t actually have to be listening to\nanything.']","People tend to apologize when they notice someone wearing headphones because they feel that interrupting someone who is wearing headphones is more intrusive than interrupting someone who is not. The act of wearing headphones is often seen as a signal that the person is focused or engaged in something, making interruptions more disruptive.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 140, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
